,locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
8448,6465,West Mackay,pm25,-1111,"{'utc': '2019-10-11T01:00:00+00:00', 'local': '2019-10-11T11:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8493,6465,West Mackay,pm25,-1111,"{'utc': '2019-10-11T02:00:00+00:00', 'local': '2019-10-11T12:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8496,6465,West Mackay,pm25,-1111,"{'utc': '2019-10-11T03:00:00+00:00', 'local': '2019-10-11T13:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8499,6465,West Mackay,pm25,-1111,"{'utc': '2019-10-11T04:00:00+00:00', 'local': '2019-10-11T14:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8502,6465,West Mackay,pm25,1,"{'utc': '2019-10-11T05:00:00+00:00', 'local': '2019-10-11T15:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8505,6465,West Mackay,pm25,12.8,"{'utc': '2019-10-11T06:00:00+00:00', 'local': '2019-10-11T16:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8508,6465,West Mackay,pm25,12.6,"{'utc': '2019-10-11T07:00:00+00:00', 'local': '2019-10-11T17:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8511,6465,West Mackay,pm25,12,"{'utc': '2019-10-11T08:00:00+00:00', 'local': '2019-10-11T18:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8516,6465,West Mackay,pm25,11.5,"{'utc': '2019-10-11T09:00:00+00:00', 'local': '2019-10-11T19:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8517,6465,West Mackay,pm25,11.1,"{'utc': '2019-10-11T10:00:00+00:00', 'local': '2019-10-11T20:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8522,6465,West Mackay,pm25,10.6,"{'utc': '2019-10-11T11:00:00+00:00', 'local': '2019-10-11T21:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8523,6465,West Mackay,pm25,10.2,"{'utc': '2019-10-11T12:00:00+00:00', 'local': '2019-10-11T22:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8528,6465,West Mackay,pm25,9.8,"{'utc': '2019-10-11T13:00:00+00:00', 'local': '2019-10-11T23:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8529,6465,West Mackay,pm25,9.4,"{'utc': '2019-10-11T14:00:00+00:00', 'local': '2019-10-12T00:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8534,6465,West Mackay,pm25,9.3,"{'utc': '2019-10-11T15:00:00+00:00', 'local': '2019-10-12T01:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8535,6465,West Mackay,pm25,9,"{'utc': '2019-10-11T16:00:00+00:00', 'local': '2019-10-12T02:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8540,6465,West Mackay,pm25,8.7,"{'utc': '2019-10-11T17:00:00+00:00', 'local': '2019-10-12T03:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8543,6465,West Mackay,pm25,8.4,"{'utc': '2019-10-11T18:00:00+00:00', 'local': '2019-10-12T04:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8546,6465,West Mackay,pm25,8.1,"{'utc': '2019-10-11T19:00:00+00:00', 'local': '2019-10-12T05:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8549,6465,West Mackay,pm25,7.7,"{'utc': '2019-10-11T20:00:00+00:00', 'local': '2019-10-12T06:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8552,6465,West Mackay,pm25,7.4,"{'utc': '2019-10-11T21:00:00+00:00', 'local': '2019-10-12T07:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8555,6465,West Mackay,pm25,7.3,"{'utc': '2019-10-11T22:00:00+00:00', 'local': '2019-10-12T08:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8556,6465,West Mackay,pm25,7.1,"{'utc': '2019-10-11T23:00:00+00:00', 'local': '2019-10-12T09:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8561,6465,West Mackay,pm25,6.9,"{'utc': '2019-10-12T00:00:00+00:00', 'local': '2019-10-12T10:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8563,6465,West Mackay,pm25,6.9,"{'utc': '2019-10-12T01:00:00+00:00', 'local': '2019-10-12T11:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8567,6465,West Mackay,pm25,6.9,"{'utc': '2019-10-12T02:00:00+00:00', 'local': '2019-10-12T12:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8568,6465,West Mackay,pm25,7,"{'utc': '2019-10-12T03:00:00+00:00', 'local': '2019-10-12T13:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8573,6465,West Mackay,pm25,7,"{'utc': '2019-10-12T04:00:00+00:00', 'local': '2019-10-12T14:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8576,6465,West Mackay,pm25,6.8,"{'utc': '2019-10-12T05:00:00+00:00', 'local': '2019-10-12T15:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8579,6465,West Mackay,pm25,6.7,"{'utc': '2019-10-12T06:00:00+00:00', 'local': '2019-10-12T16:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8582,6465,West Mackay,pm25,6.7,"{'utc': '2019-10-12T07:00:00+00:00', 'local': '2019-10-12T17:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
8585,6465,West Mackay,pm25,6.8,"{'utc': '2019-10-12T08:00:00+00:00', 'local': '2019-10-12T18:00:00+10:00'}",µg/m³,"{'latitude': -21.1595, 'longitude': 149.155}",AU,,FALSE,,Governmental Organization,reference grade
