,locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
0,7400,Kensington,pm10,27.0,"{'utc': '2019-12-23T16:00:00+00:00', 'local': '2019-12-24T02:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
1,7400,Kensington,pm10,22.0,"{'utc': '2019-12-23T17:00:00+00:00', 'local': '2019-12-24T03:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
2,7400,Kensington,pm10,24.0,"{'utc': '2019-12-23T18:00:00+00:00', 'local': '2019-12-24T04:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
3,7400,Kensington,pm10,19.0,"{'utc': '2019-12-23T19:00:00+00:00', 'local': '2019-12-24T05:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
4,7400,Kensington,pm10,21.0,"{'utc': '2019-12-23T20:00:00+00:00', 'local': '2019-12-24T06:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
5,7400,Kensington,pm10,35.0,"{'utc': '2019-12-23T21:00:00+00:00', 'local': '2019-12-24T07:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
6,7400,Kensington,pm10,43.0,"{'utc': '2019-12-23T22:00:00+00:00', 'local': '2019-12-24T08:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
7,7400,Kensington,pm10,45.0,"{'utc': '2019-12-23T23:00:00+00:00', 'local': '2019-12-24T09:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
8,7400,Kensington,pm10,42.0,"{'utc': '2019-12-24T00:00:00+00:00', 'local': '2019-12-24T10:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
9,7400,Kensington,pm10,41.0,"{'utc': '2019-12-24T01:00:00+00:00', 'local': '2019-12-24T11:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
10,7400,Kensington,pm10,43.0,"{'utc': '2019-12-24T02:00:00+00:00', 'local': '2019-12-24T12:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
11,7400,Kensington,pm10,41.0,"{'utc': '2019-12-24T03:00:00+00:00', 'local': '2019-12-24T13:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
12,7400,Kensington,pm10,40.0,"{'utc': '2019-12-24T04:00:00+00:00', 'local': '2019-12-24T14:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
13,7400,Kensington,pm10,37.0,"{'utc': '2019-12-24T05:00:00+00:00', 'local': '2019-12-24T15:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
14,7400,Kensington,pm10,38.0,"{'utc': '2019-12-24T06:00:00+00:00', 'local': '2019-12-24T16:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
15,7400,Kensington,pm10,42.0,"{'utc': '2019-12-24T07:00:00+00:00', 'local': '2019-12-24T17:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
16,7400,Kensington,pm10,36.0,"{'utc': '2019-12-24T08:00:00+00:00', 'local': '2019-12-24T18:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
17,7400,Kensington,pm10,30.0,"{'utc': '2019-12-24T09:00:00+00:00', 'local': '2019-12-24T19:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
18,7400,Kensington,pm10,18.0,"{'utc': '2019-12-24T10:00:00+00:00', 'local': '2019-12-24T20:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
