Month,NSW,Vic,Qld,SA,WA,Tas,NT,ACT
2019-10-31,"70,545","75,557","27,144","14,074","18,862","2,635",535,"1,291"
2019-11-31,"70,545","75,557","27,144","14,074","18,862","2,635",535,"1,291"
2019-12-31,"70,545","75,557","27,144","14,074","18,862","2,635",535,"1,291"
2020-01-31,"67,569","73,484","32,105","16,121","24,826","3,668",576,"2,141"
2020-02-28,"67,569","73,484","32,105","16,121","24,826","3,668",576,"2,141"
2020-03-31,"67,569","73,484","32,105","16,121","24,826","3,668",576,"2,141"
2020-04-31,"54,923","54,923","54,923","54,923","54,923","54,923","54,923","54,923"
2020-05-31,"54,923","54,923","54,923","54,923","54,923","54,923","54,923","54,923"
2020-06-30,"54,923","54,923","54,923","54,923","54,923","54,923","54,923","54,923"
2020-07-31,"28,101","28,101","28,101","28,101","28,101","28,101","28,101","28,101"
2020-08-31,"28,101","28,101","28,101","28,101","28,101","28,101","28,101","28,101"
2020-09-30,"28,101","28,101","28,101","28,101","28,101","28,101","28,101","28,101"
2020-10-31,"11,513","11,513","11,513","11,513","11,513","11,513","11,513","11,513"
2020-11-31,"11,513","11,513","11,513","11,513","11,513","11,513","11,513","11,513"
2020-12-31,"11,513","11,513","11,513","11,513","11,513","11,513","11,513","11,513"
2021-01-31,"-13,486","-53,484","-15,999","-3,398","-5,676",-338,-375,"-2,603"
2021-02-26,"-13,486","-53,484","-15,999","-3,398","-5,676",-338,-375,"-2,603"
2021-03-31,"-13,486","-53,484","-15,999","-3,398","-5,676",-338,-375,"-2,603"
2021-04-31,"-5,471","-56,088","-14,366","-3,278","-5,641",-444,-383,"-3,116"
2021-05-31,"-5,471","-56,088","-14,366","-3,278","-5,641",-444,-383,"-3,116"
2021-06-30,"-5,471","-56,088","-14,366","-3,278","-5,641",-444,-383,"-3,116"
2021-07-31,"5,059","-46,295","-12,663","-3,458","-6,043",-327,-304,"-3,245"
2021-08-31,"5,059","-46,295","-12,663","-3,458","-6,043",-327,-304,"-3,245"
2021-09-30,"5,059","-46,295","-12,663","-3,458","-6,043",-327,-304,"-3,245"
2021-10-31,"12,608","-9,566","-4,838",295,"-3,578","1,640",741,-921
2021-11-31,"12,608","-9,566","-4,838",295,"-3,578","1,640",741,-921
2021-12-31,"12,608","-9,566","-4,838",295,"-3,578","1,640",741,-921
2022-01-31,"47,095","33,691","11,981","8,167","2,634","2,518","1,669","1,817"
2022-02-26,"47,095","33,691","11,981","8,167","2,634","2,518","1,669","1,817"
2022-03-31,"47,095","33,691","11,981","8,167","2,634","2,518","1,669","1,817"
2022-04-31,"62,213","55,631","23,430","12,077","9,502","2,745","2,134","3,117"
2022-05-31,"62,213","55,631","23,430","12,077","9,502","2,745","2,134","3,117"
2022-06-30,"62,213","55,631","23,430","12,077","9,502","2,745","2,134","3,117"
